Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
125.02452,C00090,M-H+O[-],50.4,8.64667699858046e-05,EC00092
129.0546,C00090,M+H2O+H[1+],50.8,7.6466770025263e-05,EC00092
150.056,C00090,M+ACN-H[-],62.5,6.85332299781294e-05,EC00090
129.0081,C00092,M-2H[2-],49.7,0.000526466770025991,EC00087
173.0218,C00093,M+H[1+],289.3,0.000823533230004614,EC00093
179.056,C00095,M-H[-],50.1,0.000123533229981376,EC00033
203.0526,C00095,M+Na[1+],171.9,7.64667699968413e-05,EC00034
220.0823,C00095,M+ACN-H[-],53.5,0.000368533229988088,EC00033
89.0245,C00095,M-2H[2-],180.3,7.64667699968413e-05,EC00035
89.02458,C00095,M-2H[2-],50.3,0.000156466769993813,EC00033
88.0404,C00099,M-H[-],52.6,2.35332300064783e-05,EC00039
88.04041,C00099,M-H[-],155.1,1.35332300175151e-05,EC00040
90.055,C00099,M+H[1+],178.9,2.35332300064783e-05,EC00041
91.0583,C00099,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00041
129.0081,C00103,M-2H[2-],49.7,0.000526466770025991,EC00087
111.02,C00106,M-H[-],20.4,2.35332300064783e-05,EC00094
113.0345,C00106,M+H[1+],274.2,7.64667699968413e-05,EC00095
113.03458,C00106,M+H[1+],116.6,3.53323001434092e-06,EC00096
113.0346,C00106,M+H[1+],10.8,2.35332300064783e-05,EC00094
152.0467,C00106,M+ACN-H[-],12.8,0.000131466770000088,EC00094
93.0096,C00106,M-H2O-H[-],251.4,0.000176466770000161,EC00095
95.024,C00106,M-H2O+H[1+],115.2,2.35332300064783e-05,EC00096
110.0601,C00108,M-CO+H[1+],62.9,0.000123533230024009,EC00097
110.06019,C00108,M-CO+H[1+],154.6,0.000213533230024154,EC00098
118.0298,C00108,M-H2O-H[-],146.2,2.35332300064783e-05,EC00099
118.02983,C00108,M-H2O-H[-],17.1,6.46677000304408e-06,EC000100
120.0445,C00108,M-H2O+H[1+],156.7,0.000123533230009798,EC00098
121.0284,C00108,M-NH3+H[1+],63.7,7.64667699826305e-05,EC00097
136.0404,C00108,M-H[-],141.9,2.35332299780566e-05,EC00099
138.055,C00108,M+H[1+],62.4,2.35332300064783e-05,EC00097
138.0555,C00108,M+H[1+],162.5,0.000523533229994655,EC00098
139.0583,C00108,M(C13)+H[1+],68.6,7.64667699968413e-05,EC00097
139.0584,C00108,M(C13)+H[1+],164.6,2.35332300064783e-05,EC00098
152.0354,C00108,M-H+O[-],160.4,6.64667700220889e-05,EC00098
160.0369,C00108,M+Na[1+],168.2,7.64667699968413e-05,EC00098
176.0109,C00108,M+K[1+],167.1,0.000423533229991335,EC00098
182.0459,C00108,M+HCOO[-],58.7,0.000554999999991423,EC00097
94.0652,C00108,M-CO2+H[1+],156.2,2.35332300206892e-05,EC00098
101.0245,C00109,M-H[-],134,7.64667699968413e-05,EC000101
101.02454,C00109,M-H[-],49.5,0.000116466769995327,EC000102
103.039,C00109,M+H[1+],73.9,2.35332300064783e-05,EC000103
103.0394,C00109,M+H[1+],158.1,0.000423533230005546,EC000104
104.0424,C00109,M(C13)+H[1+],158.1,2.35332300064783e-05,EC000104
104.04244,C00109,M(C13)+H[1+],74.5,6.3533230004964e-05,EC000103
117.0194,C00109,M-H+O[-],179.5,6.64667699936672e-05,EC000105
125.0209,C00109,M+Na[1+],174.2,7.64667699968413e-05,EC000105
85.0284,C00109,M-H2O+H[1+],158.2,2.35332300064783e-05,EC000104
152.9949,C00111,M-H2O+H[1+],293.5,0.000223533230013118,EC000106
152.99492,C00111,M-H2O+H[1+],202.6,0.000243533230019466,EC000107
171.0056,C00111,M+H[1+],287.4,0.000323533229988016,EC000106
171.00568,C00111,M+H[1+],35,0.000403533230013409,EC000108
171.0057,C00111,M+H[1+],214,0.000423533229991335,EC000109
171.00579,C00111,M+H[1+],146.3,0.000513533229991481,EC000110
98.98429,C00111,M-C3H4O2+H[1+],281.8,0.000113533230020835,EC000106
213.0151,C00117,M-H2O+H[1+],185.6,0.000776466770020079,EC000111
229.0123,C00117,M-H[-],198.8,0.0003764667700068,EC000112
171.0056,C00118,M+H[1+],287.4,0.000323533229988016,EC000106
171.00568,C00118,M+H[1+],35,0.000403533230013409,EC000108
171.0057,C00118,M+H[1+],214,0.000423533229991335,EC000109
171.00579,C00118,M+H[1+],146.3,0.000513533229991481,EC000110
225.0695,C00120,M-H2O-H[-],135.6,0.000823533229976192,EC000114
245.095,C00120,M+H[1+],93.9,0.00047646677001012,EC000115
267.0773,C00120,M+Na[1+],93.9,0.000176466770028583,EC000115
279.0561,C00120,M+Cl[-],128.4,0.000999999999976353,EC000114
131.035,C00121,M-H2O-H[-],176.5,7.6466770025263e-05,EC000116
131.0351,C00121,M-H2O-H[-],49.4,0.000176466770028583,EC000117
149.0455,C00121,M-H[-],115.2,2.35332299780566e-05,EC000118
195.0506,C00121,M+HCOO[-],112.7,0.000155000000006567,EC000118
114.0913,C00123,M-H2O+H[1+],281.7,2.35332299922675e-05,EC000119
114.0914,C00123,M-H2O+H[1+],66.5,0.000123533229981376,EC000120
114.09142,C00123,M-H2O+H[1+],156.5,0.000143533229987725,EC000121
130.0874,C00123,M-H[-],174.7,7.64667699968413e-05,EC000122
131.0908,C00123,M(C13)-H[-],156.1,7.64667699968413e-05,EC000121
131.0941,C00123,M[1+],150.3,0.000500000000016598,EC000121
132.1019,C00123,M+H[1+],149.3,2.35332299780566e-05,EC000121
133.1053,C00123,M(C13)+H[1+],149.4,2.35332299780566e-05,EC000121
150.1125,C00123,M+H2O+H[1+],156.9,2.35332299780566e-05,EC000121
