"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","156","43","43","96.237","1","1","1","100","1","1","1","1","P76","EC00019;EC00020;EC000942;EC0001008;EC0001009;EC0001176;EC0001177;EC0001178;EC000981;EC00017;EC000168;EC00021;EC00022;EC000664;EC000665;EC000348;EC000349;EC000350;EC000971;EC000972;EC000973;EC000274;EC000958;EC000945;EC000736;EC000247;EC000248;EC000249;EC000283;EC000284;EC000285;EC00094;EC000318;EC000827;EC000828;EC0001197;EC0001198;EC0001199;EC0001116;EC0001117;EC0001115;EC000501;EC000502;EC000503;EC000504;EC000505;EC000506;EC000442;EC000443;EC000444;EC000445;EC000446;EC000447;EC000448;EC00062;EC00063;EC00033;EC00034;EC00035;EC000193;EC000194;EC000666;EC0001202;EC0001203;EC000107;EC000108;EC000109;EC000110;EC000111;EC00088;EC000560;EC000196;EC000706;EC000707;EC000708;EC000709;EC00052;EC0001338;EC0001339;EC0001336;EC0001337;EC000213;EC000214;EC00031;EC00032;EC000340;EC000341;EC000663"
"Glutamate metabolism","15","12","12","40.463","1","1","1","100","1","1","1","1","P77","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC000126;EC000127;EC00039;EC00040;EC00041;EC00021;EC00022;EC000300;EC000301;EC000302;EC00058;EC00059;EC00060;EC00061;EC00042;EC00043;EC000882;EC000883;EC000884;EC000885;EC00051;EC000497;EC000498;EC000499;EC000500;EC000102;EC000103;EC000104;EC000105;EC000106"
"Porphyrin metabolism","43","16","16","38.276","1","1","1","100","1","1","1","1","P78","EC000635;EC0001126;EC000863;EC000360;EC000361;EC000362;EC000363;EC000364;EC000205;EC000206;EC00064;EC00065;EC00066;EC00067;EC0001127;EC0001128;EC000586;EC000587;EC000588;EC000589;EC000590;EC000636;EC000872;EC000410;EC000411;EC000412;EC000413;EC000342;EC000770;EC000175;EC000176;EC000400;EC000401;EC000402;EC000403"
"Phosphatidylinositol phosphate metabolism","59","18","18","21.872","1","1","1","100","1","1","1","1","P79","EC00033;EC00034;EC00035;EC000681;EC000310;EC000340;EC000341;EC00052;EC00088;EC000205;EC000206;EC00031;EC00032;EC00089;EC00090;EC000230;EC000231;EC000232;EC00044;EC000663"
"Benzoate degradation via CoA ligation","4","2","2","6.5616","1","1","1","100","1","1","1","1","P80","EC000143;EC000144;EC000145;EC000146;EC000825;EC000826"
"Prostaglandin formation from arachidonate","78","44","44","47.025","1","1","1","100","1","1","1","1","P81","EC0001545;EC0001546;EC0001547;EC000342;EC0001548;EC0001549;EC0001550;EC0001551;EC0001419;EC000351;EC000352;EC0001152;EC0001153;EC000607;EC000608;EC000609;EC0001427;EC0001290;EC0001416;EC0001417;EC0001511;EC0001512;EC0001513;EC0001158;EC0001159;EC0001160;EC000483;EC000484;EC0001514;EC00051;EC000213;EC000214;EC00018;EC0001154;EC0001155;EC0001156;EC0001157;EC00064;EC00065;EC00066;EC00067;EC0001553;EC0001554"
"Vitamin B6 (pyridoxine) metabolism","11","6","6","24.059","1","1","1","100","1","1","1","1","P82","EC000233;EC000234;EC000235;EC000236;EC000237;EC000238;EC000239;EC000424;EC000425;EC000426;EC000491;EC000492;EC000493;EC000275;EC000276;EC000277;EC000278;EC000279;EC000474;EC000561;EC000562;EC000563"
"Pentose and Glucuronate Interconversions","15","12","12","13.123","1","1","1","100","1","1","1","1","P83","EC000175;EC000176;EC000321;EC000322;EC000119;EC000120;EC000121;EC000205;EC000206;EC000113;EC000246;EC000112"
"N-Glycan Degradation","16","5","5","19.685","1","1","1","100","1","1","1","1","P84","EC00031;EC00032;EC00033;EC00034;EC00035;EC000462;EC000463;EC000464;EC000465;EC000466;EC000135;EC000136;EC000137;EC000623;EC000624;EC000625;EC000626;EC000627"
"Leukotriene metabolism","92","23","23","34.995","1","1","1","100","1","1","1","1","P85","EC00018;EC0001514;EC0001427;EC000607;EC000608;EC000609;EC0001453;EC0001454;EC0001452;EC0001575;EC0001574;EC000213;EC000214;EC00026;EC00023;EC000351;EC000352;EC0001416;EC0001417;EC0001572;EC0001573;EC000887;EC000584;EC0001531;EC0001532;EC0001151;EC00051;EC0001584;EC0001585;EC0001586;EC0001580;EC0001581"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","2","3.2808","1","1","1","100","1","1","1","1","P86","EC00019;EC00020;EC00017"
"Fatty acid activation","74","19","19","42.651","1","1","1","100","1","1","1","1","P87","EC0001508;EC00018;EC000713;EC000714;EC000715;EC0001604;EC000519;EC000520;EC000517;EC0001415;EC0001197;EC0001198;EC0001199;EC0001195;EC0001196;EC0001189;EC0001190;EC0001191;EC0001192;EC0001193;EC0001194;EC000227;EC000230;EC000231;EC000232;EC000706;EC000707;EC000708;EC000709;EC000696;EC000697;EC000698;EC000699;EC000700;EC0001507;EC000858;EC000859;EC000860;EC000861"
"Carbon fixation","10","9","9","21.872","1","1","1","100","1","1","1","1","P88","EC00036;EC00037;EC00038;EC00088;EC000107;EC000108;EC000109;EC000110;EC000111;EC000255;EC000256;EC000257;EC00021;EC00022;EC000310;EC000112;EC000113;EC00048;EC00049;EC00050"
"Nucleotide Sugar Metabolism","7","4","4","7.6552","1","1","1","100","1","1","1","1","P89","EC00088;EC000394;EC000395;EC000175;EC000176;EC000203;EC000204"
