"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"197","Docosadienoate (22:2n6)",NA,"HILIC_135.0908_122.5","HILIC",135.0908,122.5,"HILIC",135.090161,123.9,"M+3Na","C16533",4.73017424271718,-1.40000000000001,1.40000000000001,TRUE,""
"198","N-Acetylhistamine",NA,"HILIC_136.0869_146.9","HILIC",136.0869,146.9,"HILIC",136.086924,147.4,"M-H2O+H","C05135",-0.176357869594064,-0.5,0.5,TRUE,""
"199","1-METHYLNICOTINAMIDE",NA,"HILIC_137.071_147.4","HILIC",137.071,147.4,"HILIC",137.071476,140.111148,"M+H","C02918",-3.47264079940255,7.28885200000002,7.28885200000002,TRUE,""
"200","ANTHRANILATE","yes","HILIC_138.055_62.4","HILIC",138.055,62.4,"HILIC",138.054976,55.207032,"M+H","C00108",0.173843788117056,7.192968,7.192968,FALSE,""
"201","4-AMINOBENZOATE","yes","HILIC_138.055_62.4","HILIC",138.055,62.4,"HILIC",138.054976,55.207032,"M+H","C00568",0.173843788117056,7.192968,7.192968,FALSE,""
"202","SALICYLAMIDE","yes","HILIC_138.055_62.4","HILIC",138.055,62.4,"HILIC",138.054976,55.207032,"M+H",NA,0.173843788117056,7.192968,7.192968,FALSE,""
"203","6-HYDROXYNICOTINATE",NA,"HILIC_140.0342_94.5","HILIC",140.0342,94.5,"HILIC",140.034176,84.349338,"M+H","C01020",0.171386733451763,10.150662,10.150662,TRUE,""
"204","5-Aminopentanoic acid",NA,"HILIC_140.0682_171.1","HILIC",140.0682,171.1,"HILIC",140.068199,169.2,"M+Na","C00431",0.00713937927819892,1.90000000000001,1.90000000000001,FALSE,""
"205","1,3-Dihydro-(2H)-indol-2-one","yes","HILIC_140.0682_171.1","HILIC",140.0682,171.1,"HILIC",140.06822,169.2,"M+Li","C12312",-0.142787564562099,1.90000000000001,1.90000000000001,FALSE,""
"206","BETAINE","yes","HILIC_140.0682_171.1","HILIC",140.0682,171.1,"HILIC",140.06822,165.87816,"M+Na",NA,-0.142787564562099,5.22183999999999,5.22183999999999,FALSE,""
"207","Methylimidazoleacetic acid","yes -but different time","HILIC_141.0664_160.2","HILIC",141.0664,160.2,"HILIC",141.065854,163.7,"M+H","C05828",3.87053269450823,-3.5,3.5,FALSE,""
"208","Imidazolepropionic acid","yes -but different time","HILIC_141.0664_160.2","HILIC",141.0664,160.2,"HILIC",141.065854,148.8,"M+H","C20522",3.87053269450823,11.4,11.4,FALSE,""
"209","Ectoine",NA,"HILIC_143.0815_172.1","HILIC",143.0815,172.1,"HILIC",143.081504,174.2,"M+H","C06231",-0.0279560941007509,-2.09999999999999,2.09999999999999,TRUE,""
"210","Proline betaine",NA,"HILIC_144.102_164","HILIC",144.102,164,"HILIC",144.101905,161,"M+H","C10172",0.659255684482058,3,3,FALSE,""
"211","Isovalerylcarnitine",NA,"HILIC_144.102_164","HILIC",144.102,164,"HILIC",144.101904,161,"M+ACN+2H",NA,0.66619522260732,3,3,FALSE,""
"212","13-Methylmyristic acid",NA,"HILIC_144.102_164","HILIC",144.102,164,"HILIC",144.10151,161,"M+2Na",NA,3.40038074558292,3,3,FALSE,""
"213","3-Oxindole-3-acetate",NA,"HILIC_146.0601_155","HILIC",146.0601,155,"HILIC",146.06004,153.5,"M+H-CH2O2",NA,0.410789973897343,1.5,1.5,TRUE,""
"214","4-GUANIDINOBUTANOATE",NA,"HILIC_146.0922_150.3","HILIC",146.0922,150.3,"HILIC",146.092376,141.47262,"M+H","C01035",-1.20471721269281,8.82738,8.82738,TRUE,""
"215","2-Aminoheptanoate",NA,"HILIC_146.1176_136.8","HILIC",146.1176,136.8,"HILIC",146.117555,140.2,"M+H",NA,0.307971208525031,-3.39999999999998,3.39999999999998,TRUE,""
"216","N-Methylhydantoin",NA,"HILIC_147.0766_187.9","HILIC",147.0766,187.9,"HILIC",147.076416,186.8,"M+CH3OH+H","C02565",1.25105033847584,1.09999999999999,1.09999999999999,FALSE,""
"217","Dihydrothymine",NA,"HILIC_147.0766_187.9","HILIC",147.0766,187.9,"HILIC",147.076414,186.8,"M+H+H2O","C00906",1.2646487288816,1.09999999999999,1.09999999999999,FALSE,""
"218","N-Methylhydantoin",NA,"HILIC_147.0766_187.9","HILIC",147.0766,187.9,"HILIC",147.076413,186.8,"M+CH4O+H","C02565",1.27144792422317,1.09999999999999,1.09999999999999,FALSE,""
"219","3-METHYL-2-OXINDOLE",NA,"HILIC_148.0757_51","HILIC",148.0757,51,"HILIC",148.075676,50.217351,"M+H","C02366",0.162079287246819,0.782648999999999,0.782648999999999,TRUE,""
